relation	pattern
president	than did;
president	what did;
president	did not;
president	which did;
president	did as;
president	while did;
president	did however;
president	also did [[det]];
president	did [[det]];
president	did appear;
president	did [[con]];
president	did so;
president	[[con]] did in;
president	as did [[det]];
president	[[pro]] did not;
president	what did to;
president	did for;
president	also did not;
president	[[pro]] did;
president	did take;
president	[[adj]] did;
president	also did;
president	before did;
president	did get;
president	[[pro]] did to;
president	however did not;
president	as did [[con]];
president	did indeed;
president	that did not;
president	did to;
president	as did;
president	that did;
president	[[det]] did;
president	did with;
president	did [[adj]];
president	also named along;
president	named along;
president	was named when;
president	is named with;
president	also named [[adj]];
president	be named [[det]];
president	later named of;
president	named from;
president	when named;
president	named with;
president	was named on;
president	had named;
president	was named [[con]];
president	later named by;
president	named [[prp]];
president	then named;
president	named because;
president	named as;
president	[[con]] named [[det]];
president	[[adj]] named;
president	was named along;
president	also named;
president	also named [[det]];
president	is named [[con]];
president	is named to;
president	has named;
president	named [[num]];
president	was named;
president	were named;
president	be named later;
president	be named by;
president	named [[pro]];
president	s named after;
president	been named after;
president	which named;
president	be named;
president	was named was;
president	being named;
president	later named [[pro]];
president	was named as;
president	named by;
president	[[det]] named after;
president	s named;
president	be named for;
president	was named with;
president	[[det]] named;
president	be named after;
president	also named as;
president	twice named;
president	named [[con]];
president	was named [[adj]];
president	named [[det]];
president	is named by;
president	has named as;
president	later named;
president	that named;
president	is named;
president	is named as;
president	named see;
president	were named to;
president	s named for;
president	[[adj]] named after;
president	was named while;
president	named for;
president	named de;
president	named was;
president	been named;
president	also named for;
president	named after;
president	[[con]] named;
president	[[con]] named as;
president	again named;
president	is named [[det]];
president	later named [[con]];
president	[[num]] named;
president	has named [[con]];
president	named on;
president	named [[adj]];
president	named who;
president	served in [[det]] administration of;
president	served in [[adj]] administration of;
president	served during [[det]] administration of;
president	[[adj]] support [[con]];
president	to support [[adj]];
president	support [[con]];
president	[[adj]] support from;
president	to support [[prp]];
president	[[det]] support [[con]];
president	s support for;
president	support from;
president	[[prp]] support for;
president	[[prp]] support;
president	to support;
president	support for;
president	[[adj]] support to;
president	[[adj]] support of;
president	[[prp]] support of;
president	to support [[con]];
president	[[det]] support of;
president	[[det]] support;
president	to support [[pro]];
president	[[con]] support;
president	not support [[con]];
president	not support;
president	support as;
president	[[adj]] support;
president	[[prp]] support to;
president	in support of;
president	[[mod]] support;
president	[[prp]] support behind;
president	with support;
president	s support of;
president	s support [[con]];
president	support to;
president	[[adj]] support for;
president	confessed that;
president	confessed to;
president	confessed [[con]];
president	ran on [[det]] ticket of;
president	ran on [[det]] ticket with;
president	gave [[prp]];
president	gave to;
president	then gave to;
president	[[adj]] gave;
president	when gave;
president	gave [[con]];
president	[[con]] gave [[pro]];
president	that gave;
president	while gave;
president	gave [[det]];
president	[[con]] gave [[adj]];
president	gave [[pro]];
president	gave up;
president	[[det]] gave;
president	also gave [[adj]];
president	[[con]] gave to;
president	which gave;
president	where gave;
president	then gave;
president	later gave;
president	gave [[num]];
president	gave [[adj]];
president	[[num]] gave;
president	also gave;
president	[[con]] gave up;
president	gave way;
president	after gave;
president	who gave [[prp]];
president	then gave [[pro]];
president	gave away;
president	also gave [[num]];
president	[[con]] gave;
president	who gave;
president	[[con]] gave [[det]];
president	portrayed [[adj]];
president	as portrayed by;
president	portrayed as;
president	is portrayed by;
president	was portrayed with;
president	has portrayed;
president	was portrayed;
president	who portrayed;
president	also portrayed by;
president	was portrayed as;
president	portrayed [[num]];
president	is portrayed as;
president	portrayed [[pro]];
president	portrayed with;
president	is portrayed in;
president	portrayed by;
president	been portrayed in;
president	also portrayed [[adj]];
president	has portrayed [[adj]];
president	which portrayed;
president	[[con]] portrayed by;
president	is portrayed;
president	portrayed is;
president	was portrayed in;
president	portrayed [[det]];
president	also portrayed in;
president	been portrayed by;
president	also portrayed [[con]];
president	[[con]] portrayed;
president	also portrayed [[det]];
president	was portrayed by;
president	was portrayed [[con]];
president	is portrayed [[con]];
president	portrayed [[con]];
president	also portrayed;
president	was portrayed [[det]];
president	[[adj]] candidates for;
president	[[adj]] candidates [[con]];
president	candidates [[con]];
president	[[adj]] candidates;
president	[[num]] candidates;
president	served serving as;
president	served serving [[con]];
president	served serving under;
president	served serving [[num]];
president	was elected to replace;
president	[[adj]] influence on;
president	influence as;
president	influence on;
president	to influence;
president	s influence [[con]];
president	[[adj]] influence of;
president	[[det]] influence of;
president	[[prp]] influence;
president	s influence that;
president	s influence over;
president	s influence with;
president	s influence on;
president	[[det]] influence;
president	[[det]] influence [[con]];
president	[[det]] influence in;
president	[[adj]] influence over;
president	[[con]] influence;
president	[[det]] influence on;
president	[[adj]] influence;
president	[[adj]] influence [[con]];
president	[[adj]] influence with;
president	[[adj]] influence as;
president	[[adj]] influence from;
president	s wife as;
president	[[prp]] wife had;
president	[[prp]] wife as;
president	[[adj]] wife;
president	wife in;
president	as wife;
president	[[adj]] wife [[adj]];
president	[[det]] wife to;
president	wife to;
president	wife was;
president	s wife [[adj]];
president	s wife;
president	of wife;
president	wife [[adj]];
president	s wife [[con]];
president	[[adj]] wife [[num]];
president	s wife who;
president	[[pro]] wife;
president	was wife;
president	by wife;
president	[[adj]] wife [[con]];
president	[[prp]] wife;
president	s wife in;
president	with wife;
president	s wife of;
president	wife [[con]];
